Slowest: 125
[9] Particals: 998
[9] Particals: 988
[9] Particals: 980
[10] Particals: 977
[10] Particals: 971
[10] Particals: 965
[10] Particals: 958
[10] Particals: 951
[11] Particals: 948
[11] Particals: 944
[11] Particals: 939
[11] Particals: 935
[12] Particals: 927
[12] Particals: 923
[12] Particals: 921
[12] Particals: 913
[13] Particals: 910
[13] Particals: 905
[13] Particals: 903
[13] Particals: 893
[13] Particals: 883
[13] Particals: 873
[14] Particals: 866
[15] Particals: 856
[16] Particals: 853
[17] Particals: 843
[17] Particals: 840
[18] Particals: 833
[18] Particals: 823
[18] Particals: 813
[18] Particals: 810
[18] Particals: 802
[20] Particals: 799
[20] Particals: 790
[20] Particals: 787
[20] Particals: 783
[21] Particals: 781
[22] Particals: 773
[22] Particals: 769
[22] Particals: 763
[23] Particals: 755
[24] Particals: 753
[24] Particals: 750
[24] Particals: 742
[25] Particals: 737
[25] Particals: 730
[25] Particals: 725
[26] Particals: 719
[26] Particals: 715
[26] Particals: 711
[26] Particals: 707
[27] Particals: 699
[27] Particals: 695
[27] Particals: 693
[27] Particals: 686
[27] Particals: 682
[28] Particals: 676
[28] Particals: 671
[28] Particals: 669
[29] Particals: 660
[30] Particals: 654
[30] Particals: 652
[30] Particals: 649
[30] Particals: 646
[30] Particals: 644
[30] Particals: 636
[30] Particals: 634
[30] Particals: 629
[30] Particals: 623
[31] Particals: 616
[31] Particals: 613
[31] Particals: 606
[31] Particals: 602
[31] Particals: 598
[32] Particals: 595
[32] Particals: 590
[32] Particals: 582
[33] Particals: 578
[33] Particals: 575
[33] Particals: 572
[33] Particals: 570
[34] Particals: 563
[35] Particals: 558
[35] Particals: 551
[35] Particals: 547
[35] Particals: 543
[35] Particals: 541
[36] Particals: 531
[36] Particals: 526
[36] Particals: 521
[36] Particals: 514
[37] Particals: 505
[37] Particals: 498
[37] Particals: 491
[37] Particals: 486
[38] Particals: 479
[38] Particals: 470
[38] Particals: 461
